2026/01/27 20:34:45 [Node:3668518753547396462] kv server putAppend op:Put, key:2, value:
2026/01/27 20:34:49 [Node:3668518753547396462] kv server putAppend op:Append, key:2, value:x 2 20 y 重复操作
2026/01/27 20:34:49 [Node:3668518753547396462] kv server putAppend op:Append, key:2, value:x 2 21 y
2026/01/27 20:34:49 [Node:3731818272620519076] kv server putAppend op:Append, key:2, value:x 2 21 y
2026/01/27 20:34:49 [Node:3731818272620519076] kv server putAppend repley: success op:Append, key:2, value:x 2 21 y
2026/01/27 20:34:49 [Node:3731818272620519076] kv server putAppend op:Append, key:2, value:x 2 22 y
2026/01/27 20:34:49 [Node:3731818272620519076] kv server putAppend repley: success op:Append, key:2, value:x 2 22 y
2026/01/27 20:34:49 [Node:3731818272620519076] kv server putAppend op:Append, key:2, value:x 2 23 y
2026/01/27 20:34:49 [Node:3731818272620519076] kv server putAppend repley: success op:Append, key:2, value:x 2 23 y
2026/01/27 20:34:49 [Node:3731818272620519076] kv server putAppend op:Append, key:2, value:x 2 24 y
2026/01/27 20:34:49 [Node:3731818272620519076] kv server putAppend repley: success op:Append, key:2, value:x 2 24 y
2026/01/27 20:34:49 [Node:2586583564771526023] kv server putAppend op:Append, key:2, value:x 2 24 y
2026/01/27 20:34:49 [Node:3017501193301214021] kv server putAppend op:Append, key:2, value:x 2 24 y 重复操作
