2026/02/12 11:38:35 [client] shardkv client putappend key:0 value:_LBhPXgp-PAdFzyrvxj2 op:Put to server:&{n1_sw6gKRxu28cRk1WZf 0xc000024310 0xc000024380}, shard:8, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:7 value:cZCTlAO5Ga1Cm_lNY-DJ op:Put to server:&{cpLNeDeyiMpXs0CnZWnb 0xc000024310 0xc000024380}, shard:5, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:7 value:cZCTlAO5Ga1Cm_lNY-DJ op:Put to server:&{UAK3Ia6c_YpdWdBznDDM 0xc000024310 0xc000024380}, shard:5, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:8 value:Mfxshp9V5NrE07f-2hci op:Put to server:&{D5xagJYYdPm9loCgolXk 0xc000024310 0xc000024380}, shard:6, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:8 value:Mfxshp9V5NrE07f-2hci op:Put to server:&{6nhPgGbXXfpYDbQs12u9 0xc000024310 0xc000024380}, shard:6, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:8 value:Mfxshp9V5NrE07f-2hci op:Put to server:&{hCvOOR-OhAUUyAiJLG7S 0xc000024310 0xc000024380}, shard:6, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:9 value:z1u162W8DsHAHXYrBjSM op:Put to server:&{mTE0T8e9P9KhiELmdQX3 0xc000024310 0xc000024380}, shard:7, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:9 value:z1u162W8DsHAHXYrBjSM op:Put to server:&{Lon09qi2d6EL3E8kvRtf 0xc000024310 0xc000024380}, shard:7, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:9 value:z1u162W8DsHAHXYrBjSM op:Put to server:&{SS2YQmNQ7pkcQympEMgl 0xc000024310 0xc000024380}, shard:7, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:10 value:rK-MeDLRLuBBlA8QnTxq op:Put to server:&{w_C3SfY-go-PZdAu3NV7 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:10 value:rK-MeDLRLuBBlA8QnTxq op:Put to server:&{Jz5BML7-vp53bhhRK1L0 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:10 value:rK-MeDLRLuBBlA8QnTxq op:Put to server:&{2NiFXbKdtxu1xTKbCLHj 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:11 value:4qc7MT6pXy5N4FHMgVSD op:Put to server:&{pN9c8l1goZhkG80ftTDO 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:11 value:4qc7MT6pXy5N4FHMgVSD op:Put to server:&{jLTAJHqXCUwaENEEaGCg 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:11 value:4qc7MT6pXy5N4FHMgVSD op:Put to server:&{wOWI85rEt7WNBZGor4sc 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:12 value:AqXLKwZEWYqgmYG9iNCz op:Put to server:&{-goYbcxfUW1a2HSnTHZ4 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:12 value:AqXLKwZEWYqgmYG9iNCz op:Put to server:&{vhTR8LRgX9ju96AStzxd 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:12 value:AqXLKwZEWYqgmYG9iNCz op:Put to server:&{QuPS9rFcUPBVKa12bceU 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:13 value:r9XEhFbXKvucOjvEk9Mq op:Put to server:&{E3wJNCKWBHr8dVZ57pnH 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:13 value:r9XEhFbXKvucOjvEk9Mq op:Put to server:&{3i0DbO3KfyPwQJEYka45 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:13 value:r9XEhFbXKvucOjvEk9Mq op:Put to server:&{ZNMYeyCScmakP5gVZSP_ 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:14 value:2KNJz71PIwvmfL5v04ze op:Put to server:&{6eynWRC716J4_zFh0hfn 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:14 value:2KNJz71PIwvmfL5v04ze op:Put to server:&{z0pSzQdQomhccdJo_BAk 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:14 value:2KNJz71PIwvmfL5v04ze op:Put to server:&{DuN2MIyU7N1V9WpTXQb8 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:15 value:6pU01E1kOZlIJumeaiPX op:Put to server:&{VaKzmKkitW_4EKNbTZZ7 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:15 value:6pU01E1kOZlIJumeaiPX op:Put to server:&{CCCgkySxAzVsX8rK16VL 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:15 value:6pU01E1kOZlIJumeaiPX op:Put to server:&{o_TsZp85Yv60VZ5NKMZK 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:16 value:Nwloqa3ECnnJ-V-tORXr op:Put to server:&{09blIkqp5W0onZdXgaWy 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:16 value:Nwloqa3ECnnJ-V-tORXr op:Put to server:&{shIq8ulWhYec4r_0FcAP 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:16 value:Nwloqa3ECnnJ-V-tORXr op:Put to server:&{Fhcc5SrwXa3ASt0lZOhM 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:17 value:FB4_uZNWUKFi_YzT8VXn op:Put to server:&{lvr1t15iO_p9Z3c2_RLl 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:17 value:FB4_uZNWUKFi_YzT8VXn op:Put to server:&{i6Dq8wfnVIkWSBdDiu2M 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:17 value:FB4_uZNWUKFi_YzT8VXn op:Put to server:&{DGXm8N8PcADJJbsqdgdV 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:18 value:fjuM-1ifH2iNkjzo9UYt op:Put to server:&{OnP2F3mCYvfn6LuDRfj5 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:18 value:fjuM-1ifH2iNkjzo9UYt op:Put to server:&{aLVOecSEFMehya8nlVab 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:18 value:fjuM-1ifH2iNkjzo9UYt op:Put to server:&{syvJeUA4DN9FzXYkxEfj 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:19 value:Sy_Qv4uBfGR5v9qro2Z4 op:Put to server:&{lBURcf4EWSJkbNHg9J6x 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:19 value:Sy_Qv4uBfGR5v9qro2Z4 op:Put to server:&{XEgnPXLAgsPcq2vVACnT 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:19 value:Sy_Qv4uBfGR5v9qro2Z4 op:Put to server:&{nh22vp3HNUKN8D4xGs8- 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:20 value:SlbVrqapno8jIad1WMC0 op:Put to server:&{LKtESDGu63zVGQ-8fbJ5 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:20 value:SlbVrqapno8jIad1WMC0 op:Put to server:&{5b7TPZuM2rPP0PnVW9Tv 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:20 value:SlbVrqapno8jIad1WMC0 op:Put to server:&{yQs9zvpIZszbnqvy6F4C 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:21 value:geEQvJmY55V60q0zlix1 op:Put to server:&{t85yBByHgYj0d1sZjk7s 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:21 value:geEQvJmY55V60q0zlix1 op:Put to server:&{FA4hdxMmMt92yPHNJn04 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:21 value:geEQvJmY55V60q0zlix1 op:Put to server:&{mSshABm3I-JN7b-dShaW 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:22 value:AkAYRN6FAHd-RRK2Jw5n op:Put to server:&{UEr4mA0KZuKP71ayclTQ 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:22 value:AkAYRN6FAHd-RRK2Jw5n op:Put to server:&{eXFttIl09LCBA9jN-E9v 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:22 value:AkAYRN6FAHd-RRK2Jw5n op:Put to server:&{ubC2ichb7wRTvb-rTVP9 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:23 value:UaXgF5KaO1dRRzRRxDD8 op:Put to server:&{I3Sb42hn08BKYPyDtpYD 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:23 value:UaXgF5KaO1dRRzRRxDD8 op:Put to server:&{6JxG4DGX2NthLwlLZZIb 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:23 value:UaXgF5KaO1dRRzRRxDD8 op:Put to server:&{teZbErvGNIrPVVR_bg42 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:24 value:3IJCQZOvB4MFjb_mOwEf op:Put to server:&{_9emJTOO71gwguODZl5Z 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:24 value:3IJCQZOvB4MFjb_mOwEf op:Put to server:&{sV_wi2nRANuhLIaD3379 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:24 value:3IJCQZOvB4MFjb_mOwEf op:Put to server:&{5_U2YbRnHdXtlGuYjGN2 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:25 value:-n4EN_FvUATYQ06Wz0AY op:Put to server:&{dFt8apQe1Q7wa-UJbhPu 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:25 value:-n4EN_FvUATYQ06Wz0AY op:Put to server:&{G5ARyrDrAoT3GzJsx4yt 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:36 [client] shardkv client putappend key:25 value:-n4EN_FvUATYQ06Wz0AY op:Put to server:&{JwagHLYl9eNsiyHqm_1X 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:26 value:mUDT7BaVWhQgPo8NmkAD op:Put to server:&{lbRob2mQOhjAsFg7WTer 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:26 value:mUDT7BaVWhQgPo8NmkAD op:Put to server:&{Yq3r4W92zgBNRrOnhlF_ 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:26 value:mUDT7BaVWhQgPo8NmkAD op:Put to server:&{0H6x38GNGNsKECMlu2D5 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:27 value:P2cQOel2qPEgvbvJxms1 op:Put to server:&{P1JdSG238kJu4lB2PRyb 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:27 value:P2cQOel2qPEgvbvJxms1 op:Put to server:&{O52LBAkflrzhkHlN84J- 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:27 value:P2cQOel2qPEgvbvJxms1 op:Put to server:&{N_RJwvyqQKuhpkdvEdKq 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:28 value:xP_Y-XD1A9aij8pOsQOe op:Put to server:&{z33x2L91KoCHB0EQLIO6 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:28 value:xP_Y-XD1A9aij8pOsQOe op:Put to server:&{bEdqMWoQno0SO_n2t_6M 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:28 value:xP_Y-XD1A9aij8pOsQOe op:Put to server:&{bzhi3Hn3ncIVA5wZcUTo 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:29 value:j97rKxL3luJt9FkaknKC op:Put to server:&{oUbAeMI6_-cJ6BDwqNnp 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:29 value:j97rKxL3luJt9FkaknKC op:Put to server:&{9uTxwp5LFwx6WE-YKvia 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client putappend key:29 value:j97rKxL3luJt9FkaknKC op:Put to server:&{OJJiobhF6pGawaMFeXbJ 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:0 to server:&{aFeU8M8qSGipczC091uw 0xc000024310 0xc000024380}, shard:8, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:0 to server:&{JjrvAvMgVY12iXgLuYbx 0xc000024310 0xc000024380}, shard:8, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:0 to server:&{TGoOO7Xwho64FCKx-cFh 0xc000024310 0xc000024380}, shard:8, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:1 to server:&{vGEmF8scHiY2jyX1qt8H 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:1 to server:&{gFkRj_Eg1xpCzdQIDX1A 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:1 to server:&{IT-kTZJU3Hbghtmz5V_O 0xc000024310 0xc000024380}, shard:9, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:2 to server:&{a-rPApokYyVdI0iJcEgh 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:2 to server:&{pTEoFyqUm5ZtUtoDICmT 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:2 to server:&{Z4Law2lAzmxNlg9sDvGE 0xc000024310 0xc000024380}, shard:0, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:3 to server:&{quDB0foMNp9ET_eeGGN8 0xc000024310 0xc000024380}, shard:1, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:3 to server:&{Y3UutO-9Eb8TDte_ufrT 0xc000024310 0xc000024380}, shard:1, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:3 to server:&{qZZYG_Pp4NgMGFOEY0JP 0xc000024310 0xc000024380}, shard:1, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:4 to server:&{g-ZEQRBKN_NZbqeYTemR 0xc000024310 0xc000024380}, shard:2, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:4 to server:&{b7wFCGomQ7zGJ8SVvr0M 0xc000024310 0xc000024380}, shard:2, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:4 to server:&{CV9_UapPd3UhdLAWbRaV 0xc000024310 0xc000024380}, shard:2, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:5 to server:&{gYEkp4ba8W23SUdRWIVY 0xc000024310 0xc000024380}, shard:3, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:5 to server:&{mozrRBlSg_IimNyCoAy4 0xc000024310 0xc000024380}, shard:3, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:5 to server:&{jpZLut6Z0y_Oj5cqqIZN 0xc000024310 0xc000024380}, shard:3, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:6 to server:&{syTJyowhPYLoKJqhhLQa 0xc000024310 0xc000024380}, shard:4, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:6 to server:&{O5ZreuoPdFbralRa-5q8 0xc000024310 0xc000024380}, shard:4, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:6 to server:&{udvGraGayx5yvpFdB-lg 0xc000024310 0xc000024380}, shard:4, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:7 to server:&{U2VNEdiDR5GXgRZtRrlk 0xc000024310 0xc000024380}, shard:5, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:7 to server:&{msmR2CZFfm6hCuIW3VFr 0xc000024310 0xc000024380}, shard:5, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:7 to server:&{ciZ0-BInqVFzuhtC6VZA 0xc000024310 0xc000024380}, shard:5, gid:100 servers:[server-100-0 server-100-1 server-100-2]
2026/02/12 11:38:37 [client] shardkv client get key:8 to server:&{U3u8NxJKcpjOvJCjijZD 0xc000024310 0xc000024380}, shard:6, gid:100 servers:[server-100-0 server-100-1 server-100-2]
